iter	Logloss
0	0.6814552442
1	0.6595059884
2	0.6413538194
3	0.6232863775
4	0.6129152329
5	0.5975624112
6	0.5860966347
7	0.5711181662
8	0.5591551946
9	0.5449901866
10	0.5289096815
11	0.5159393981
12	0.5044166882
13	0.4944835612
14	0.4833197252
15	0.4736130999
16	0.463265745
17	0.4515764923
18	0.4400974078
19	0.4262040042
20	0.4211135311
21	0.4122858056
22	0.403363712
23	0.3953648371
24	0.3868164518
25	0.3782639263
26	0.3698697997
27	0.3655916315
28	0.3594287124
29	0.3539058559
30	0.348821892
31	0.3401167174
32	0.3345500611
33	0.328034456
34	0.3199200082
35	0.3153138661
36	0.3108203145
37	0.3054900567
38	0.3032932705
39	0.2990583385
40	0.2940974523
41	0.2885373604
42	0.2831166051
43	0.2785288845
44	0.2739120099
45	0.2701984219
46	0.2670390864
47	0.2633953185
48	0.2596534524
49	0.2566016933
50	0.2533886744
51	0.2501813719
52	0.2458575819
53	0.2414521067
54	0.2384831982
55	0.2357545617
56	0.2321468165
57	0.2300952995
58	0.2274019434
59	0.2244945648
60	0.222364955
61	0.2198909788
62	0.2151230461
63	0.2116631732
64	0.2084856518
65	0.2044524008
66	0.2023631394
67	0.2001333494
68	0.1969502902
69	0.1944751743
70	0.1904663892
71	0.1870527805
72	0.1851048771
73	0.1824396768
74	0.1799657211
75	0.1780307893
76	0.1759437672
77	0.1747817193
78	0.1728018806
79	0.1713121987
80	0.1691869536
81	0.1659506789
82	0.1633127891
83	0.1614172637
84	0.1589180199
85	0.1566171705
86	0.1536631642
87	0.1518982725
88	0.1499409916
89	0.1473356422
90	0.1458039902
91	0.1436254755
92	0.1420757906
93	0.1405461322
94	0.1388706591
95	0.1381753897
96	0.1363631209
97	0.1341697059
98	0.1327436159
99	0.1313793665
