iter	Passed	Remaining
0	1	196
1	3	148
2	4	132
3	5	120
4	5	112
5	6	108
6	8	109
7	9	108
8	10	108
9	11	107
10	13	106
11	14	106
12	15	105
13	17	105
14	17	101
15	18	99
16	20	97
17	21	96
18	22	94
19	23	93
20	24	93
21	26	95
22	29	98
23	30	97
24	32	96
25	33	95
26	34	94
27	35	92
28	37	90
29	38	90
30	40	89
31	41	88
32	43	87
33	44	86
34	45	85
35	47	84
36	48	82
37	49	81
38	51	80
39	52	79
40	54	77
41	56	78
42	57	76
43	59	75
44	60	73
45	61	72
46	62	70
47	64	70
48	66	68
49	67	67
50	68	66
51	70	64
52	71	63
53	72	62
54	73	60
55	74	58
56	75	57
57	76	55
58	78	54
59	79	52
60	80	51
61	82	50
62	83	48
63	84	47
64	85	46
65	86	44
66	87	43
67	89	41
68	90	40
69	91	39
70	92	37
71	93	36
72	94	35
73	96	33
74	97	32
75	98	31
76	99	29
77	100	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	107	20
84	108	19
85	109	17
86	110	16
87	111	15
88	113	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	123	1
99	125	0
