Area,Mean depth,Shorline lenght,Coast development index,Lake elongation index,Shorline overgrowth degree ,Vegeation coverage of lake,Forests around the coasline,Tourism
43.3,3.7,2896,1.19,2.009345794,60,3,13.98710761,1
48.7,6.1,3293,1.33,1.916666667,51,12,53.26275856,1
167.8,6.9,7228,1.55,2.342995169,60,20,52.70289923,1
89.6,6,10085,2.83,7.777777778,35,7,75,0
81.2,4.5,4391,1.38,2.09375,49,8,68.8054221,1
599,13.5,28217,3.23,13.88888889,35,1,62.30231407,1
65,6.4,6564,2.25,4.480769231,70,6,100,0
83.8,5.7,7504,2.2,4.655172414,20,1,71.82180015,1
211.8,0.7,13649,2.66,3.282608696,20,3,48.56739471,1
14.3,2.6,1808,1.34,3,95,9,15.87882985,1
508.8,4.3,30430,3.66,7.2,51,5,66.84380116,1
175.9,7.6,8860,1.83,3.3,90,15,59.74115774,1
12.2,1.3,3284,2.56,11.07142857,30,35,80.55555556,0
57.8,3,4605,1.58,2.333333333,51,20,86.8766364,1
50.7,1.4,2237,1.35,2.5,30,8,78.262,0
44.5,5.2,3222,1.36,1.76,90,5,100,0
10.9,3.2,1459,1.14,1.796875,0,0,100,0
50.8,3.6,3115,1.44,1.166666667,51,5,90,0
233.8,12.5,3610,3.15,10.33333333,15,7,84.99758017,1
19.2,8.5,3023,1.83,1.739130435,70,20,90,0
44.7,2.3,3594,1.47,1.25625,90,9,6.997238377,1
81.4,5,7203,2.25,2.592592593,85,5,25.06728602,1
10,2.2,1093,1.08,2.041666667,60,15,96.49785714,0
35.2,3.6,2856,1.36,2.697674419,35,3,52.43868423,0
47.3,5.1,3115,1.29,2.6,85,9,53.4285327,1
183,6.9,9678,1.95,3.018867925,40,3,81.9136259,1
48.7,2.8,3341,1.37,2.8,95,9,0.911337358,1
11.3,1.1,1532,1.32,1.421052632,100,95,80,0
69,8.5,4382,1.41,1.573170732,70,11,41,0
13.5,2.3,2862,2.05,5.866666667,90,20,100,0
15.5,0.9,1877,1.29,2.419354839,100,30,75,0
395.7,14.2,15172,2.49,4.552995392,80,3,66.82161733,1
73.7,5,5131,1.64,4.150943396,55,4,41.10280112,1
