Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata,Dinoflagellata,Cryptophytes,picophytoplankton,Basin
2.35,3.08,0.92,0.23,0,0.00,0,3.2,0
6.39,2.87,0.49,0.01,0,0.00,0,2.42,0
2.05,7.47,0,0.06,0.17,0.00,0,2.61,0
6.3,5.03,0,0.11,0.1,0.00,0,2.49,0
3.77,5.69,0,0.01,0.04,0.00,0.02,1.73,0
1.87,2.64,0,0.05,0.02,0.00,0,1.5,0
2.26,8.52,0,0.08,0.1,0.00,0.03,3.2,0
4,10.17,0,0.69,0.21,0.00,0,4.5,0
2.93,6.38,0,0.1,0.09,0.00,0,3.48,0
8.25,2.03,0,0.41,0.06,0.00,0,1.66,0
16.2,8.59,0,0.31,0.16,0.00,0,2.37,0
3.31,3.8,0.02,0.57,0,0.00,0,2.58,0
2.73,3.9,0,0.24,0.13,0.00,0,2.66,0
8.01,5.03,0.12,0.46,0.24,0.00,0,4.43,0
7.59,4.09,0.05,0.67,0.13,0.00,0,4.52,0
7.23,4.89,0.04,0.76,0.18,0.00,0,4.56,0
5.2,3.91,0.2,0.59,0.18,0.06,0,6.31,0
6.74,3.51,0,0.12,0.18,0.01,0,5.02,0
6.6,3.12,0.61,1.15,0.24,0.00,0,0.63,0
8.21,5.28,0.3,0.83,0.38,0.00,0,0.74,0
6.23,3.12,0.61,1.15,0.24,0.00,0,1.62,0
7.77,5.28,0.3,0.83,0.38,0.00,0,1.92,0
3.85,3.37,0,0.22,0.94,0.00,0,3.84,0
5.77,3.69,0,0.76,0.08,0.00,0,2.97,0
6.04,4.73,0.01,0.66,0.04,0.00,0,4.33,0
3.16,3.99,0,0.47,0.41,0.00,0,4.5,0
3.66,3.97,0.06,0.17,0.62,0.00,0,5.02,0
2.75,2.41,0.05,0.11,0.11,0.00,0,4.69,0
3.97,2.19,0.04,0.2,0.07,0.00,0,5.28,0
8,1.73,0.61,0.21,0.29,0.00,0,2.39,0
13.24,3.42,0.15,0.12,0.36,0.00,0,2.33,0
4.07,1.69,0.04,1.16,0.02,0.00,0,2.73,0
7.36,2.97,0.03,0.98,0.06,0.00,0.1,3.75,0
5.92,5.7,0.27,3.57,0.04,0.00,0,6,0
3.44,5.54,0.06,1.03,0.16,0.00,0,3.52,0
4.14,6.71,0,1.27,0.02,0.00,0,3.99,0
4.33,7.79,0.45,0.04,1.8,0.00,0,6.48,0
5.57,9.42,0.33,0.13,2.9,0.00,0,6.47,0
0.78,2.53,0,0.36,0.09,0.00,0,0.57,0
1,1.48,0.66,0.24,0,0.00,0,0.69,0
0.74,2.48,0,0.09,0.13,0.00,0.03,0.43,0
0.65,1.77,0.05,0.07,0.2,0.04,0.49,0.79,0
0.28,2.13,0,0.4,0.07,0.00,0.1,0.59,0
1.15,1.79,0,0.77,0.24,0.00,0.05,0.49,0
0.82,2.34,0,0.39,0.11,0.00,0.15,0.56,0
0.42,2.27,0,0.2,0.07,0.00,0.87,0.52,0
0.59,3.15,0,0.06,0.11,0.00,0.09,1.06,0
1.54,1.41,0.11,0.24,0.19,0.06,0,0.94,0
1.37,2.36,0.08,0.28,0.02,0.07,0,0.54,0
1.34,1.95,0.01,1.98,0.27,0.00,0,2.71,0
1.57,2.42,0.16,0.38,0.04,0.00,0.15,2.47,0
0.85,3.34,0.53,0.8,0.13,0.50,0,1.75,0
1.02,3.48,0.01,0.39,1.19,0.87,0.01,2.41,0
0.85,3.65,0,1.13,1.16,0.00,0,2.47,0
1.22,3.47,0.46,0.78,0.7,0.00,0,2.91,0
1.21,2.2,0,0.79,0.79,0.21,0,1.72,0
0.7,4.27,0.29,1.14,0,0.00,0,3.01,0
0.36,4.69,0.17,1.19,0.89,0.05,0,2.41,0
2.96,2.77,0.31,4.05,0.02,0.00,0,3.02,0
1.41,3.18,0.43,5.84,0.29,0.47,0,3.16,0
1.07,2.8,0.07,2.2,0.09,0.00,0.09,4.19,0
1.6,4.27,0.28,2.17,0.78,0.31,0,3.98,0
1.69,1.98,0.35,1.65,0.04,0.03,0,2.82,0
2.72,7.26,0.1,3.78,0.06,0.49,0,3.99,0
2.85,4.73,0.15,5.24,0.36,0.00,0,4.63,0
1.46,1.19,0.01,1.49,0,0.00,0,1.02,0
1.7,3.11,0.08,1.08,0.08,0.06,0,0.56,0
5.98,3.55,0.12,3.29,0.5,0.07,0.47,4.8,0
12.22,2.05,0.03,2.57,0.7,0.13,0.04,4.8,0
13.34,2.82,0.2,1.26,0.08,0.00,0.01,4.8,0
3.3,2.64,0.13,3.29,0.93,0.00,0,3.05,0
2.99,1.45,0,2.7,0.55,0.00,0,2.24,0
2.21,1.76,0.26,2.74,0.83,0.02,0.04,2.99,0
3.24,4.12,0.45,0.34,0.02,0.00,0,1.33,0
1.24,4.94,0.06,0.96,0.02,0.05,0,1.9,0
5.91,2.38,0.02,2.23,0.23,0.16,0,3.65,0
5.49,2.17,0.21,0.96,0.17,0.12,0,5.87,0
5.12,1.9,0.36,1.35,0.29,0.11,0,3.07,0
4.98,2.37,0.16,0.8,0.33,0.34,0,2.7,0
4.71,1.49,0,1.2,0.27,0.05,0,3.57,0
6.53,2.27,0.12,1.58,0.35,0.04,0.05,3.71,0
5.42,2.28,0.28,2.3,0.68,0.00,0,4.91,0
3.79,3.5,0.88,1.37,0.43,0.10,0.54,3.44,0
6.73,3.47,0.45,1.96,0.13,0.19,0.89,3.63,0
8.28,2.84,0.31,1.67,0.41,0.03,0.31,5.4,0
5.67,2.31,0.48,1.48,0.23,0.05,0.42,3.94,0
5.85,1.53,0.12,1.24,0.19,0.04,0,3.96,0
4.11,0.75,0.36,1.49,0.07,0.00,0.06,2.46,0
4.94,0.87,0.08,1.52,0.26,0.00,0.01,4.08,0
6.38,2.29,0.39,2.47,0.74,0.31,0.06,5.32,0
10.8,1.64,0.29,0.23,0,0.00,0,2.49,1
4.91,2.84,0.09,2,0,0.00,0,3.04,1
6.62,2.03,0,1.39,1.65,0.00,0,0.81,1
3.37,2.67,0,0.25,0.25,0.00,0,2.58,1
7.36,6.58,0,0.47,0.22,0.00,0,2.28,1
3.52,5.04,0,0.3,0.23,0.00,0,4.05,1
11.71,5.2,0.01,0.29,0.21,0.00,0,3.14,1
3.01,5.36,0.07,0.92,0.11,0.00,0,1.44,1
7.95,3.86,0,1.28,0.1,0.00,0,1.67,1
4.18,14.33,0,0.06,0.24,0.00,0,2.33,1
5.4,12.19,0.12,0.43,0.38,0.00,0,4.43,1
7.27,5.7,0,0.46,0.07,0.00,0,1.77,1
10.99,3.93,0,0.59,0.47,0.00,0,0.79,1
4.8,5.36,0,0.42,0.32,0.00,0,0.44,1
7.43,6.11,0,3.04,1.48,0.00,0,0.95,1
10.53,3.93,0,0.59,0.47,0.00,0,2.05,1
4.1,5.36,0,0.42,0.32,0.00,0,1.59,1
6.97,6.11,0,3.04,1.48,0.00,0,2.37,1
3.11,5.32,0.28,0.07,0.35,0.00,0,4.2,1
3.87,5.03,0,0.14,0.16,0.00,0,3.18,1
4.14,3.51,0.1,0.65,0.06,0.00,0,5.33,1
2.24,2.57,0.04,0.89,0.07,0.00,0,3.7,1
2.29,4.04,0,0.46,0.18,0.00,0,4.08,1
4.78,2.48,0.06,2.55,0.01,0.00,0,2.72,1
5.53,2.31,0.01,0.25,0.06,0.00,0,3.56,1
7.02,5.72,0.02,1.06,0.42,0.00,0,3.37,1
8.97,8.91,0.05,0.93,0.99,0.00,0,4.72,1
6.78,3.68,0,0.57,0,0.01,0,4,1
7.1,7.27,0.04,1.84,0.08,0.00,0,3.37,1
5.96,2.36,0.08,2.17,0.02,0.00,0,3.39,1
6.31,4.44,0.02,0.29,0.03,0.00,0,3.62,1
0.67,1.8,0.08,0.19,0.08,0.00,0,0.53,1
